"DATE","TIME PERIOD","Pre-Euro Short-Term Rate - Volume-weighted trimmed mean rate (MMSR.B.U2._X._Z.S12._Z.U.BO.WT.D76.MA._Z._Z.EUR._Z)"
"2019-08-01","01 Aug 2019","-0.451"
"2019-08-02","02 Aug 2019","-0.452"
"2019-08-05","05 Aug 2019","-0.452"
"2019-08-06","06 Aug 2019","-0.452"
"2019-08-07","07 Aug 2019","-0.454"
"2019-08-08","08 Aug 2019","-0.452"
"2019-08-09","09 Aug 2019","-0.449"
"2019-08-12","12 Aug 2019","-0.451"
"2019-08-13","13 Aug 2019","-0.451"
"2019-08-14","14 Aug 2019","-0.451"
"2019-08-15","15 Aug 2019","-0.452"
"2019-08-16","16 Aug 2019","-0.454"
"2019-08-19","19 Aug 2019","-0.453"
"2019-08-20","20 Aug 2019","-0.450"
"2019-08-21","21 Aug 2019","-0.427"
"2019-08-22","22 Aug 2019","-0.449"
"2019-08-23","23 Aug 2019","-0.449"
"2019-08-26","26 Aug 2019","-0.450"
"2019-08-27","27 Aug 2019","-0.450"
"2019-08-28","28 Aug 2019","-0.451"
"2019-08-29","29 Aug 2019","-0.450"
"2019-08-30","30 Aug 2019","-0.448"
"2019-09-02","02 Sep 2019","-0.449"
"2019-09-03","03 Sep 2019","-0.449"
"2019-09-04","04 Sep 2019","-0.450"
"2019-09-05","05 Sep 2019","-0.449"
"2019-09-06","06 Sep 2019","-0.450"
"2019-09-09","09 Sep 2019","-0.450"
"2019-09-10","10 Sep 2019","-0.451"
"2019-09-11","11 Sep 2019","-0.450"
"2019-09-12","12 Sep 2019","-0.449"
"2019-09-13","13 Sep 2019","-0.451"
"2019-09-16","16 Sep 2019","-0.450"
"2019-09-17","17 Sep 2019","-0.451"
"2019-09-18","18 Sep 2019","-0.552"
"2019-09-19","19 Sep 2019","-0.555"
"2019-09-20","20 Sep 2019","-0.553"
"2019-09-23","23 Sep 2019","-0.554"
"2019-09-24","24 Sep 2019","-0.552"
"2019-09-25","25 Sep 2019","-0.553"
"2019-09-26","26 Sep 2019","-0.549"
"2019-09-27","27 Sep 2019","-0.547"
"2019-09-30","30 Sep 2019","-0.549"
